Longitude,Latitude,value
-149.4,-4.433333333,1
-148.75,-1.9,1
-148.65,-1.533333333,0
-147.5666667,-0.25,1
167.5666667,-20.58333333,1
176.6,-14.6,1
175.4166667,-10.75,1
175.3,-11.13333333,1
172.4833333,-2.066666667,1
171.4,-2.1,1
170.3,-2.266666667,1
-165.3833333,-4.066666667,1
-166.1,-5.483333333,1
-165.3833333,-4.75,1
-85.46666667,-2.766666667,1
120.9,-36.75,1
160.45,-32.41666667,0
170.2166667,-31.61666667,1
114.55,-31.28333333,1
156.9833333,-2.65,1
156.3,-1.133333333,1
155.2333333,-0.8,1
153.9833333,-0.333333333,1
112.7666667,-33.78333333,1
110.0166667,-25.48333333,1
112.8,-21.41666667,1
119,-6.016666667,1
119.45,-15.2,1
124.6833333,-10.41666667,1
124.5166667,-8.516666667,1
125.0166667,-8.45,1
124.1166667,-6.866666667,1
126.15,-0.95,1
-131.8833333,-1.666666667,0
-97.8,-13.53333333,1
-107.9833333,-12.8,1
-111.2,-12.55,1
-112.6166667,-12.5,1
-119.6,-14,1
-122.4666667,-14.01666667,1
-125.35,-13.9,1
-128.4833333,-14.03333333,1
-139.5833333,-14.05,1
-142.45,-15.25,1
-145.1166667,-16.5,1
-147.45,-15.66666667,1
-130.4833333,-2.683333333,1
-99.46666667,-3.5,1
-86.31666667,-0.416666667,1
-114.0666667,-5.016666667,1
-166.5833333,-8.016666667,1
-133.7333333,-1.783333333,0
-137.0666667,-2.516666667,1
-138.85,-0.15,0
139.4166667,32.033,1
115.1,-35.06666667,1
114.45,-30.56666667,1
113.9833333,-34.31666667,0
118.7833333,-36.11666667,1
-174.4333333,-20.96666667,1
-89.68333333,-1.216666667,1
150.7833333,-16.51666667,1
146.8833333,-13.51666667,1
126.5833333,-9.633333333,1
167.9,-8.633333333,1
167.7666667,-8.4,1
166.75,-5.5,1
161.75,-6.266666667,1
161.3833333,-6.316666667,1
158.9666667,-7.133333333,1
160.4833333,-5.45,1
129.65,-2.516666667,1
132.3,-3.65,1
130.2333333,-9.1,1
120.5,-14.1,1
117.95,-17.66666667,1
168.8666667,-4.266666667,1
168.8833333,-5.583333333,1
123.05,-7.516666667,1
73.88333333,-23.93333333,1
-123.4333333,-27.43333333,1
-105,-13.68,0
-94.15,-3.78,0
119.733,-53.033,0
-79.15,-18,1
-179.6833333,-24.76666667,1
172.6,-28.75,1
168.7333333,-33.23333333,1
143.7833333,-44.08333333,1
152.85,-12.41666667,1
112.75,-19.067,1
-139.7166667,-1.983333333,1
-177.6,-24.2,1
-96.2,-14.1,0
-114.1833333,-17,0
148.7833333,-15.81666667,1
146.2,-12.86666667,1
163.2666667,-0.916666667,0
105.2333333,-29.36666667,0
-82.8,-2.6,1
-82.73,4.6,0
1,-34.06666667,0
14.7,-31.06666667,1
-73.652,-32.591,1
-77.098,-16.127,1
13.5,-39.2,0
12.58333333,-33.4,0
15,-33.2,0
-90.823,-3.092,1
-85.418,-1.138,0
133.8333333,-4.883333333,1
-113.3,-4.033333333,0
162.7,-0.033333333,1
-171.5333333,-60.2,1
-148.65,-1.533333333,1
-85.46666667,-2.766666667,0
160.45,-32.41666667,1
-131.8833333,-1.666666667,1
-130.4833333,-2.683333333,0
-133.7333333,-1.783333333,1
-138.85,-0.15,1
113.9833333,-34.31666667,1
-105,-13.68,1
-94.15,-3.78,1
119.733,-53.033,1
-79.15,-18,0
-179.6833333,-24.76666667,0
152.85,-12.41666667,0
112.75,-19.067,0
-139.7166667,-1.983333333,0
157.8666667,-25.88333333,0
-96.2,-14.1,1
-114.1833333,-17,1
148.7833333,-15.81666667,0
146.2,-12.86666667,0
163.2666667,-0.916666667,1
105.2333333,-29.36666667,1
-30.267,44.3498,1
-41.75,50.9332,1
-67.3333,35.7167,0
-68.9167,36.1333,0
-69.15,36.15,0
-68.9333,35.7833,0
-69.4,36.2167,0
-74.35,31.8333,0
-75.35,31.65,0
-72.95,37.65,0
-75.75,23.9333,0
-75.9333,24.8,0
-67.6667,30.7833,0
-69.0833,35.7667,0
-42.65,39.1332,0
-27.367,33.333,1
-17.0667,5.2833,0
-18.3,3.65,1
-24.1667,-0.05,0
-26.0333,-0.7667,0
-59.2,20.7332,1
62.5,-14.03333333,0
70.4,-25.41666667,0
58.51666667,-10.35,0
59.68333333,-13.68333333,0
70.96666667,-44.63333333,1
114.3833333,-31.51666667,0
67.88333333,-39.73333333,0
113.9333333,-31.26666667,1
87.85,-18.68333333,0
70.2,-14.9,0
62,-17.8,0
73.88333333,-23.93333333,0
75.05,-39.83333333,1
119.735,-53.038,1
105.548,-43.308,1
114.478,-48.008,1
114.423,-47.533,1
114.417,-46.448,0
114.348,-45.037,1
114.368,-43.953,1
100.012,-41.02,1
83.723,-39.515,1
95.082,-45.022,1
95.08,-47.128,1
95.037,-47.988,1
94.832,-49.378,0
-16.95,24.5,1
-74.88,14,0
46.2,-43.78,1
51.267,-43.63,0
65.467,-55.33,0
92.417,-44.77,1
104.37,-39.38,1
125.57,-46.53,1
127.12,-49.33,1
129.97,-51.08,1
123.1,-47.77,0
121.12,-45.42,1
114.13,-41.37,0
63.15,12.05,0
58.083,17.883,1
-10.57,45.1,0
-15.4,54.983,1
-77.22,10.183,0
-69.67,21.3,0
-81.63,13.483,0
-79.53,16.567,0
-81.1,11.767,0
-45.97,4.967,0
57.35,-43.03,1
54.217,-34.33,1
-45.4,2.217,0
57.633,-22.4,0
67.583,-34.92,0
69.55,-36.48,1
-43.77,0.917,0
83.483,-38.03,1
95.967,-28.07,0
-41.52,1.683,0
112.98,-33.8,0
114.12,-31.57,1
112.8,-21.42,0
-4.6,-49,0
-17.8,-42.58,1
-75.04,11.91,0
-71.67,15.617,1
-74.79,15.857,0
-76.96,10.032,0
-78.15,11.25,0
-77.17,14.695,0
-7.722,3.705,0
11.307,-25.49,0
7.625,-46.6,1
-15.57,-49.92,1
-13.23,-46.1,1
61.617,-12.38,0
59.872,-12.85,0
59.638,-13.61,0
58.852,-15.59,0
58.633,-16.23,1
61.203,-2.807,0
66.29,19.193,0
67.298,21.472,0
72.763,9.582,0
65.617,-13.22,0
-22.77,59.6532,1
-21.1328,53.867,1
-0.0667,63.4832,1
-54.9,42.467,1
-92.47,23.767,0
-69.5,32.6,0
-65.12,32.283,0
-64.72,32.217,0
-79.92,29.283,0
-57.13,38.917,0
-61.45,34.667,0
-64.6,40.767,0
-77.77,12.4,0
-37.87,8.233,0
-11.62,31.383,0
-38.2,22.967,0
-43.8,23.033,0
-64.17,31.433,0
-74.4,17,1
-53.07,24.283,0
7.017,-22.98,0
-16.05,1.75,0
-65.2,10.7,0
65.517,3.867,0
56.233,11.433,0
53.45,13.433,1
51,14.3,1
48.4,12.867,0
46.75,11.85,0
45.633,12.617,1
-40.52,15.483,0
-32.85,0.85,0
15.917,-35.88,0
64.817,-4.3,0
66.3,-2.833,0
69.45,-0.633,0
-37.07,1.967,0
-46.48,23.333,0
-51.87,30,1
-48.42,17.267,0
-50.83,60.033,1
-40.67,13.25,0
16.433,-33.35,0
44.367,-46.02,1
45.767,-45,1
43.5,-37.15,1
79.567,-29.73,0
82.85,-31.05,0
83.8,-31.63,1
84.85,-32.38,0
91.717,-30.2,0
92.833,-28.883,1
95.183,-28.017,0
99.25,-31.53,1
-65.05,28.483,1
-18.92,12.383,0
-28.93,24.967,0
-34.13,27.967,0
-36.92,29.617,0
-47.73,58.367,1
-57.83,60.733,0
-80.43,11.75,0
-51.12,13.733,1
15.983,-33.23,0
29.933,-38.98,0
37.867,-37.63,0
41.85,-36.12,0
63.533,-20.58,0
-47.75,4.233,0
114.45,-30.57,0
140.62,-38.57,0
-67.55,38.75,0
62.783,8.117,0
61.067,7.433,0
41.55,-4.217,0
41.6,-19.92,0
13.283,-30.58,0
9.583,-29.52,0
10.8,-21.83,0
-5.25,2,0
-9.083,1.417,0
-15.05,3.65,0
-41.4,29.017,0
-48.27,33.3,0
68.483,-21.98,0
64.9,-23.05,1
-35.6,2.1,0
-33.03,5.317,0
-30.13,8.467,0
-68.53,38.283,1
-60.52,11.533,0
-77.23,14.45,0
-10.9,-46.13,1
-6.633,-44.47,1
-3.25,-43.18,1
-20.12,3.383,0
-18.58,14.167,0
-21.15,14.4,0
-23.23,15.017,0
-31.45,20.7,0
-43.63,27.917,0
-52.3,32.65,1
-57.25,34.75,1
-45.63,12.75,0
-25.53,19.883,0
-35.83,17.2,0
-40.67,17.483,0
-45.13,41.517,1
-45.05,46,1
-27.53,62.667,1
0.0167,68.0333,1
8.317,70.05,1
0.2,77.95,1
6.683,70.983,1
2.717,68.55,1
-17.57,60.933,1
-16.83,54.25,1
-21.93,52.583,1
-24.25,49.867,1
-16.92,46,1
-15.1,29.8,0
-76.63,12.25,0
-72.6,22.6,0
-46.7,26.783,0
-43,9.317,0
-71.23,17.033,0
-18.18,9.567,1
-17.92,6.267,0
-18.25,6.033,0
-18.08,5.833,0
-14.8,0.3,0
-60.5,42.267,1
-14.2,62.133,1
-24.08,56.067,1
-14.68,43.8,0
-17.07,42.7,1
-20.15,39.717,1
-13.55,39.617,1
-43.23,42.75,1
-39.87,44.167,0
-26.58,25.933,0
-37.3,50.1,1
-28.85,16.533,0
-46.2,54,1
-46.87,54.033,1
-50.8,54.467,1
-53.12,54.733,0
1.983,1,0
-11.82,3.05,0
-54.7,56.733,0
-13.63,1.05,0
-44.62,58.183,1
-37.275,60.7033,1
-11.5,61.367,1
-6.133,63.45,1
-6.217,65.017,1
-5.4,76.167,1
2.667,73.533,1
4.633,78.833,1
6.917,76.467,1
3.617,78.117,1
7.417,78.4,1
-10.8,75,1
-7.433,60.65,1
-73.92,14.933,0
-72.37,13.933,0
-76.6,17.033,0
-81.15,10.983,0
-80.4,11.117,0
-13.65,72.433,1
-0.833,73.483,0
5.267,72.183,1
-1.617,71.167,1
0.583,62.9,1
-3.583,64.833,1
-12.72,68.717,1
-9.0667,72.0667,1
-4.4,69.383,1
0.233,67.683,1
11.667,74.483,1
-4.0167,64.0833,1
88.083,14.15,0
-17.92,16.383,1
-20.07,22.467,0
-25.72,41.533,1
-25.15,42.85,1
-23.87,45.3,1
-17.53,52.367,1
-15.57,58.733,1
-19.2,59.95,1
-20.97,60.383,1
-25.12,61.55,1
-6.733,66.733,1
-6.667,67.783,1
-6.983,72.967,1
-5.417,68.383,1
-0.067,65.167,1
-14.53,62.85,1
-24.05,61.917,1
-38.78333333,28,0
-73.51666667,38.18333333,1
-41.75,50.93333333,1
-67.33333333,35.71666667,0
-68.91666667,36.13333333,0
-69.13333333,36.13333333,0
-68.93333333,35.78333333,0
-69.4,36.21666667,0
-74.35,31.83333333,0
-76.8,29.76666667,1
-78.55,19.4,0
-75.75,23.93333333,0
-75.91666667,24.8,0
-67.66666667,30.78333333,0
-42.65,39.13333333,0
-36.7,39.26666667,1
-27.36666667,33.56666667,1
-19.3,25.83333333,0
-17.06666667,5.283333333,0
