Longitude,Latitude,value
-44.21666667,6.216666667,1
-44.08333333,6.316666667,0
-44.08333333,6.216666667,1
-44.08333333,6.116666667,1
-44.08333333,6.033333333,1
-44.08333333,6,1
-44.05,5.716666667,1
-44.08333333,5.6,1
-44.08333333,5.566666667,1
-44.06666667,5.466666667,1
-44.06666667,5.383333333,1
-43.75,4.733333333,1
-43.65,4.716666667,1
-43.48333333,4.783333333,1
-43.45,4.766666667,1
-43.2,4.866666667,1
-43.13333333,4.9,1
-43.05,4.916666667,1
-42.91666667,4.95,1
-42.88333333,4.95,1
-42.78333333,5,1
-42.73333333,5.033333333,1
-43.33333333,4.8,1
-43.06666667,4.75,1
-43.05,4.75,1
-43.31666667,4.85,1
-43.15,4.7,1
-43.38333333,4.566666667,1
-43.7,4.366666667,1
-43.66666667,4.366666667,1
-43.48333333,4.35,1
-43.41666667,4.35,1
-43.43333333,4.333333333,1
-43.43333333,4.35,1
-43.48333333,4.333333333,1
-43.48333333,4.7,1
-43.3,4.766666667,1
-43.15,4.85,1
-43.03333333,4.883333333,1
-42.98333333,4.866666667,1
-42.73333333,5.15,1
72.78333333,-5.383333333,0
63.71666667,-5.566666667,0
59.25,-5.433333333,0
73.6,-35.78333333,0
78.43333333,-37.31666667,0
98.86666667,-32,0
65.96666667,-5.716666667,0
100.3333333,-32.1,0
113.9333333,-32.26666667,0
148.7,-14.5,0
154.7333333,-15.71666667,0
155,-16.05,0
155.9333333,-14.78333333,0
156.85,-13.28333333,0
157.2166667,-12.53333333,0
158.05,-11.31666667,0
163.2166667,-6.666666667,0
165.4166667,-5.7,0
168.0333333,-4.516666667,0
170.0333333,-3.383333333,0
73.11666667,9.05,0
71.51666667,16.98333333,0
50.51666667,14.45,0
95.15,8.716666667,0
95.05,10.2,0
93.68333333,11.15,0
94.15,11.76666667,0
95.93333333,13.56666667,0
93.13333333,14.51666667,0
91.01666667,18.36666667,0
90.48333333,17.4,0
92.06666667,12.4,0
76.71666667,7.5,0
73.98333333,12.31666667,0
71.88333333,13.96666667,0
58.43333333,19.3,0
117.9333333,12.65,0
117.9166667,12.31666667,0
118.0666667,12.15,0
118.4833333,11,0
118.7166667,11.58333333,0
118.6333333,11.63333333,0
118.5166667,11.71666667,0
118.3333333,11.88333333,0
118.2166667,11.93333333,0
118.2833333,10.6,0
116.4166667,7.7,0
116.2333333,7.85,0
116.1166667,7.883333333,0
116.1666667,7.816666667,0
118.3833333,8.05,0
118.5666667,8.15,0
118.7166667,8.216666667,0
118.9,8.3,0
118.95,8.35,0
118.8333333,8.3,0
118.8833333,6.75,0
118.9666667,6.8,0
119.3666667,7,0
120.3333333,7.533333333,0
119.9333333,7.483333333,0
119.4833333,7.166666667,0
119.05,6.9,0
-139.9666667,4.583333333,0
-174.3166667,17.86666667,0
62.66666667,-17.8,0
178.4833333,-63.06666667,0
-166.9666667,-63.28333333,0
-171.5333333,-60.2,0
175.2333333,-46.35,0
-154.75,-24.68333333,0
-150.5833333,-13.88333333,0
-149.4,-4.433333333,0
-148.75,-1.9,0
-148.65,-1.533333333,0
-147.5666667,-0.25,0
-147.8333333,50.85,0
-144.65,51.51666667,0
-157.3833333,21.55,0
-157.8166667,21.7,0
167.5666667,-20.58333333,0
176.6,-14.6,0
175.4166667,-10.75,0
175.3,-11.13333333,0
172.4833333,-2.066666667,0
171.4,-2.1,0
170.3,-2.266666667,0
168.1,1.15,0
167.2333333,2.933333333,0
-165.3833333,-4.066666667,0
-166.1,-5.483333333,0
-165.3833333,-4.75,0
-165.55,10.5,0
-161.9833333,10.01666667,0
-168.8666667,8.566666667,0
-171.1833333,10.16666667,0
-170.95,10.38333333,0
-85.98333333,-0.15,0
-85.46666667,-2.766666667,0
-75.58333333,14.26666667,1
-16.51666667,-23.35,1
-15.11666667,-24.06666667,1
-13.26666667,-24.96666667,1
-12.76666667,-25.15,1
-10.6,-26.23333333,1
-9.433333333,-26.56666667,1
42.35,-42.88333333,0
46.2,-43.28333333,0
51.26666667,-43.63333333,0
65.46666667,-55.33333333,0
92.58333333,-44.76666667,0
93.88333333,-44.03333333,0
101.4166667,-41.1,0
104.3666667,-39.38333333,0
125.5666667,-46.53333333,0
127.1166667,-49.33333333,0
129.9666667,-51.08333333,0
135.85,-51.5,0
160.45,-32.41666667,0
105.2333333,-29.36666667,0
-74.88333333,14,1
-22.76666667,59.65,0
-88.98333333,28,1
-91.36666667,25.28333333,1
-94.68333333,25.6,1
-94.35,26.31666667,1
-90.73333333,25.68333333,1
-91.45,24.78333333,1
-92.48333333,23.45,1
-90.95,24.85,1
-88.98333333,25.05,1
-84.18333333,20.53333333,1
-77.2,10.18333333,1
-79.15,-18,0
-123.4333333,-27.43333333,0
-179.6833333,-24.76666667,0
172.6,-28.75,0
170.2166667,-31.61666667,0
168.7333333,-33.23333333,0
148.3666667,-45.75,0
143.7833333,-44.08333333,0
123.1,-47.76666667,0
121.1166667,-45.41666667,0
114.1333333,-41.36666667,0
111.3833333,-39.78333333,0
113.3666667,-29.33333333,0
114.55,-31.28333333,0
72.8,7.4,0
59.6,19.56666667,0
60.41666667,19.08333333,0
58.08333333,17.88333333,0
-14.9,44.18333333,0
-10.55,45.08333333,0
-15.38333333,54.96666667,0
-69.65,21.3,1
-79.51666667,16.56666667,1
-87.81666667,4.683333333,0
-88.53333333,4.516666667,0
157.9666667,-14.53333333,0
152.85,-12.41666667,0
156.4333333,-3.033333333,0
156.9833333,-2.65,0
156.3,-1.133333333,0
155.2333333,-0.8,0
153.9833333,-0.333333333,0
152.9333333,-0.033333333,0
149.2,1.266666667,0
150.3833333,6.766666667,0
158,33.08333333,0
158.8,31.41666667,0
154.6333333,32.13333333,0
159.1666667,34.58333333,0
-84.31666667,6.283333333,0
-81.63333333,13.48333333,1
-86.3,23.43333333,1
-91.6,22.93333333,1
-94.83333333,22.08333333,1
-95.83333333,21.71666667,1
-96.33333333,22.61666667,1
-94.38333333,24.05,1
-92.46666667,24.9,1
-89.41666667,26.3,1
-84.75,25.18333333,1
-48.08333333,7.633333333,1
-43.76666667,0.916666667,1
-41.51666667,1.683333333,1
-40.6,-2.066666667,1
-36.95,-1.166666667,0
-35.21666667,-2.766666667,1
-35.96666667,-17.25,1
-32.68333333,-20.15,1
-30.05,-28.58333333,1
-35.1,-34.7,0
-35.53333333,-31.98333333,1
-9.866666667,-50.86666667,1
-0.05,-46.75,0
5.95,-43.48333333,0
12.58333333,-39.26666667,0
18.45,-35.78333333,0
61.03333333,-46.51666667,0
57.35,-43.03333333,0
54.21666667,-34.33333333,0
57.63333333,-22.4,0
67.58333333,-34.91666667,0
69.55,-36.48333333,0
71.53333333,-37.8,0
79.86666667,-43.51666667,0
82.25,-39.71666667,0
83.48333333,-38.03333333,0
86.65,-37.98333333,0
90.21666667,-36.1,0
91.93333333,-33.63333333,0
94.41666667,-30.06666667,0
95.96666667,-28.06666667,0
110.55,-33.06666667,0
112.7666667,-33.78333333,0
114.1166667,-31.56666667,0
110.0166667,-25.48333333,0
112.8,-21.41666667,0
119,-6.016666667,0
145.8333333,16.53333333,0
149.9166667,20.91666667,0
142.9,26.8,0
139.0333333,33.2,0
-130.1166667,47.15,0
-139.7166667,-1.983333333,0
-146.8666667,-14.78333333,0
-139.9666667,-14.81666667,0
-114.6166667,-5.983333333,0
-110.8,-8.8,0
-106.9666667,-11.33333333,0
-85.81666667,-1.533333333,0
-75.31666667,30.73333333,1
-70.8,38.03333333,1
-91.55,27.15,1
-94.23333333,25.78333333,1
-95.53333333,23.4,1
-93.66666667,22.9,1
-86.13333333,20.45,1
169.2,-26,0
157.8666667,-25.88333333,0
163.5166667,-24.88333333,0
168.3833333,-3.733333333,0
166.7166667,-1.266666667,0
164.8166667,1.633333333,0
163.3333333,3.6,0
134.15,33,0
134.15,32.3,0
133.2833333,29.76666667,0
131.4166667,29.55,0
-157.9333333,20.78333333,0
-177.6,-24.2,0
-66.93333333,-56.83333333,0
-54.13333333,-50.41666667,0
-57.65,-43.46666667,0
-24.78333333,-39.81666667,0
-28.86666667,-37.86666667,0
-17.8,-42.58333333,0
-15.46666667,-39.66666667,0
-13.15,-36.88333333,0
