Longitude,Latitude,value
-72.37,13.933,1
-76.6,17.033,1
-80.4,11.117,1
-50.83,26.783,1
88.083,14.15,1
-17.92,16.383,1
-20.07,22.467,1
-25.72,41.533,0
-25.15,42.85,0
-15.57,58.733,0
-38.78333333,28,1
-73.51666667,38.18333333,1
-41.75,50.93333333,0
-67.33333333,35.71666667,1
-68.91666667,36.13333333,1
-69.13333333,36.13333333,1
-68.93333333,35.78333333,1
-69.4,36.21666667,1
-74.35,31.83333333,1
-76.8,29.76666667,1
-78.55,19.4,1
-75.75,23.93333333,1
-75.91666667,24.8,1
-67.66666667,30.78333333,1
-42.65,39.13333333,1
-36.7,39.26666667,1
-27.36666667,33.56666667,1
-19.3,25.83333333,1
-17.06666667,5.283333333,1
-21.78333333,0.583333333,1
-26.03333333,-0.766666667,1
-27.01666667,-1.5,1
-57.33333333,10.55,1
-59.2,20.71666667,1
51.9,12,1
53.16666667,10.25,1
51.73333333,8.983333333,0
51.61666667,8.9,1
60.21666667,9.216666667,1
69.43333333,20.15,1
67.91666667,20.11666667,1
59.55,21,1
61.01666667,20.83333333,1
57.18333333,17.43333333,1
54.76666667,16.23333333,1
54.63333333,15.26666667,1
57.35,14.93333333,1
-34.56666667,-29.13333333,1
71.56666667,13.58333333,1
74.18333333,9.9,1
73.4,7.033333333,1
127.85,-9.1,1
133.8333333,-4.883333333,0
131.9833333,-4.666666667,1
130.6166667,-2.633333333,1
112.6833333,-11.88333333,1
46.98333333,-13.3,1
41.61666667,-12.98333333,1
41.4,-13.18333333,1
41.55,-16.06666667,1
41.83333333,-11.51666667,1
-121.8833333,19,1
-11.11666667,-8.283333333,1
119.05,7.916666667,1
118.55,8.5,1
87.78333333,11.38333333,1
80.86666667,14.26666667,1
87.31666667,15.3,1
91.23333333,15.21666667,1
91.53333333,19,1
89.31666667,20.33333333,1
86.9,13.48333333,1
89.03333333,6.916666667,1
88.58333333,4.183333333,1
57.36666667,17.7,0
57.38333333,17.56666667,0
57.36666667,13.86666667,1
60.66666667,16.61666667,1
58.33333333,19.15,1
58.98333333,19.7,1
59.6,21,1
59.73333333,21.75,1
60.18333333,20.75,1
60.61666667,20,1
60.75,19.55,1
61.68333333,19.93333333,1
60.83333333,21.71666667,0
60.15,22.68333333,1
59.75,22.68333333,1
59.61666667,22.61666667,0
59.71666667,22.63333333,1
63.15,22.18333333,1
62.06666667,-18.35,1
62.83333333,-12.26666667,1
55.5,-8.933333333,1
61.81666667,-26.93333333,0
69.01666667,-8.316666667,1
71.21666667,-2.45,1
70.23333333,-2.333333333,1
69.25,-2.2,1
88.85,2.966666667,1
91.05,2.916666667,1
91.68333333,2.983333333,1
97.88333333,-0.566666667,1
-130.6166667,3.333333333,1
-133.3833333,-9.983333333,1
-148.4833333,-16.78333333,1
-143.6666667,-28.56666667,1
-106.5,-28.48333333,1
-118.2333333,-23.61666667,1
-115.2,-22.08333333,1
-113.3,-4.033333333,1
-115.7166667,-26.3,1
-112.1,-14.73333333,1
-109.7166667,-11.7,1
-110.6833333,-9.883333333,1
-116.2166667,1.45,1
156.0666667,4.85,1
156.2333333,2.783333333,1
157,-2.233333333,1
161.3166667,-3.6,1
160.8,-1.75,1
159.0666667,-1.633333333,1
158.7,-0.016666667,1
160.4166667,-0.016666667,1
161,0,1
161.4333333,0,1
161.9833333,0,1
162.7,-0.033333333,0
161,0.883333333,1
161.6,1.1,1
162.4,1.366666667,1
163.7,2.366666667,1
-47.48333333,28.35,1
